observation_date,DCOILWTICO
1947/1/1,1.62
1947/4/1,1.87
1947/7/1,1.87
1947/10/1,2.003
1948/1/1,2.57
1948/4/1,2.57
1948/7/1,2.57
1948/10/1,2.57
1949/1/1,2.57
1949/4/1,2.57
1949/7/1,2.57
1949/10/1,2.57
1950/1/1,2.57
1950/4/1,2.57
1950/7/1,2.57
1950/10/1,2.57
1951/1/1,2.57
1951/4/1,2.57
1951/7/1,2.57
1951/10/1,2.57
1952/1/1,2.57
1952/4/1,2.57
1952/7/1,2.57
1952/10/1,2.57
1953/1/1,2.57
1953/4/1,2.653
1953/7/1,2.82
1953/10/1,2.82
1954/1/1,2.82
1954/4/1,2.82
1954/7/1,2.82
1954/10/1,2.82
1955/1/1,2.82
1955/4/1,2.82
1955/7/1,2.82
1955/10/1,2.82
1956/1/1,2.82
1956/4/1,2.82
1956/7/1,2.82
1956/10/1,2.82
1957/1/1,2.987
1957/4/1,3.07
1957/7/1,3.07
1957/10/1,3.047
1958/1/1,3.07
1958/4/1,3.07
1958/7/1,3.07
1958/10/1,3.023
1959/1/1,2.99
1959/4/1,2.97
1959/7/1,2.97
1959/10/1,2.97
1960/1/1,2.97
1960/4/1,2.97
1960/7/1,2.97
1960/10/1,2.97
1961/1/1,2.97
1961/4/1,2.97
1961/7/1,2.97
1961/10/1,2.97
1962/1/1,2.97
1962/4/1,2.97
1962/7/1,2.97
1962/10/1,2.97
1963/1/1,2.97
1963/4/1,2.97
1963/7/1,2.97
1963/10/1,2.97
1964/1/1,2.97
1964/4/1,2.97
1964/7/1,2.92
1964/10/1,2.92
1965/1/1,2.92
1965/4/1,2.92
1965/7/1,2.92
1965/10/1,2.92
1966/1/1,2.92
1966/4/1,2.92
1966/7/1,2.937
1966/10/1,2.97
1967/1/1,2.99
1967/4/1,3
1967/7/1,3.047
1967/10/1,3.07
1968/1/1,3.07
1968/4/1,3.07
1968/7/1,3.07
1968/10/1,3.07
1969/1/1,3.13
1969/4/1,3.35
1969/7/1,3.35
1969/10/1,3.35
1970/1/1,3.35
1970/4/1,3.35
1970/7/1,3.31
1970/10/1,3.393
1971/1/1,3.56
1971/4/1,3.56
1971/7/1,3.56
1971/10/1,3.56
1972/1/1,3.56
1972/4/1,3.56
1972/7/1,3.56
1972/10/1,3.56
1973/1/1,3.56
1973/4/1,3.56
1973/7/1,4.06
1973/10/1,4.31
1974/1/1,10.11
1974/4/1,10.11
1974/7/1,10.11
1974/10/1,11.16
1975/1/1,11.16
1975/4/1,11.16
1975/7/1,11.16
1975/10/1,11.16
1976/1/1,11.763
1976/4/1,12.17
1976/7/1,12.747
1976/10/1,13.9
1977/1/1,13.9
1977/4/1,13.9
1977/7/1,14.533
1977/10/1,14.85
1978/1/1,14.85
1978/4/1,14.85
1978/7/1,14.85
1978/10/1,14.85
1979/1/1,15.517
1979/4/1,17.683
1979/7/1,25.583
1979/10/1,30.833
1980/1/1,35.833
1980/4/1,39.5
1980/7/1,37.833
1980/10/1,36.333
1981/1/1,38
1981/4/1,37.333
1981/7/1,36
1981/10/1,35.333
1982/1/1,31.297
1982/4/1,34.817
1982/7/1,34.58
1982/10/1,33.85
1983/1/1,29.653
1983/4/1,30.537
1983/7/1,31.56
1983/10/1,29.83
1984/1/1,30.199
1984/4/1,30.368
1984/7/1,29.104
1984/10/1,27.431
1985/1/1,27.05
1985/4/1,27.857
1985/7/1,27.791
1985/10/1,29.193
1986/1/1,17.22
1986/4/1,13.87
1986/7/1,13.81
1986/10/1,15.41
1987/1/1,18.25
1987/4/1,19.41
1987/7/1,20.41
1987/10/1,18.66
1988/1/1,16.69
1988/4/1,17.25
1988/7/1,15.18
1988/10/1,14.76
1989/1/1,18.51
1989/4/1,20.39
1989/7/1,19.29
1989/10/1,20.33
1990/1/1,21.78
1990/4/1,17.77
1990/7/1,26.22
1990/10/1,32.09
1991/1/1,21.98
1991/4/1,20.77
1991/7/1,21.65
1991/10/1,21.78
1992/1/1,18.9
1992/4/1,21.22
1992/7/1,21.67
1992/10/1,20.48
1993/1/1,19.83
1993/4/1,19.74
1993/7/1,17.81
1993/10/1,16.43
1994/1/1,14.83
1994/4/1,17.83
1994/7/1,18.47
1994/10/1,17.64
1995/1/1,18.38
1995/4/1,19.34
1995/7/1,17.87
1995/10/1,18.13
1996/1/1,19.76
1996/4/1,21.71
1996/7/1,22.34
1996/10/1,24.63
1997/1/1,22.85
1997/4/1,19.92
1997/7/1,19.8
1997/10/1,19.96
1998/1/1,15.94
1998/4/1,14.64
1998/7/1,14.22
1998/10/1,12.93
1999/1/1,13.17
1999/4/1,17.65
1999/7/1,21.72
1999/10/1,24.6
2000/1/1,28.9
2000/4/1,28.92
2000/7/1,31.63
2000/10/1,32.06
2001/1/1,28.76
2001/4/1,27.92
2001/7/1,26.7
2001/10/1,20.5
2002/1/1,21.64
2002/4/1,26.27
2002/7/1,28.32
2002/10/1,28.3
2003/1/1,34.04
2003/4/1,28.98
2003/7/1,30.22
2003/10/1,31.17
2004/1/1,35.34
2004/4/1,38.32
2004/7/1,43.89
2004/10/1,48.3
2005/1/1,49.9
2005/4/1,53.11
2005/7/1,63.31
2005/10/1,60.03
2006/1/1,63.27
2006/4/1,70.46
2006/7/1,70.48
2006/10/1,59.94
2007/1/1,58.08
2007/4/1,64.97
2007/7/1,75.22
2007/10/1,90.58
2008/1/1,97.86
2008/4/1,123.78
2008/7/1,118.29
2008/10/1,58.68
2009/1/1,43.14
2009/4/1,59.61
2009/7/1,68.14
2009/10/1,76
2010/1/1,78.81
2010/4/1,77.82
2010/7/1,76.06
2010/10/1,85.16
2011/1/1,94.07
2011/4/1,102.02
2011/7/1,89.49
2011/10/1,94.02
2012/1/1,102.98
2012/4/1,93.29
2012/7/1,92.17
2012/10/1,88.01
2013/1/1,94.33
2013/4/1,94.05
2013/7/1,105.83
2013/10/1,97.5
2014/1/1,98.68
2014/4/1,103.35
2014/7/1,97.87
2014/10/1,73.21
2015/1/1,48.49
2015/4/1,57.85
2015/7/1,46.49
2015/10/1,41.94
2016/1/1,33.35
